Data,Producer_1,Producer_2,Producer_3,Total
2019-01-01 00:15:00,0.0,0.0,0.0,0.0
2019-01-01 00:30:00,0.0,0.0,0.0,0.0
2019-01-01 00:45:00,0.0,0.0,0.0,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,0.0
2019-01-01 01:15:00,0.0,0.0,0.0,0.0
2019-01-01 01:30:00,0.0,0.0,0.0,0.0
2019-01-01 01:45:00,0.0,0.0,0.0,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,0.0
2019-01-01 02:15:00,0.0,0.0,0.0,0.0
2019-01-01 02:30:00,0.0,0.0,0.0,0.0
2019-01-01 02:45:00,0.0,0.0,0.0,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,0.0
2019-01-01 03:15:00,0.0,0.0,0.0,0.0
2019-01-01 03:30:00,0.0,0.0,0.0,0.0
2019-01-01 03:45:00,0.0,0.0,0.0,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,0.0
2019-01-01 04:15:00,0.0,0.0,0.0,0.0
2019-01-01 04:30:00,0.0,0.0,0.0,0.0
2019-01-01 04:45:00,0.0,0.0,0.0,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,0.0
2019-01-01 05:15:00,0.0,0.0,0.0,0.0
2019-01-01 05:30:00,0.0,0.0,0.0,0.0
2019-01-01 05:45:00,0.0,0.0,0.0,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,0.0
2019-01-01 06:15:00,0.0,0.0,0.0,0.0
2019-01-01 06:30:00,0.0,0.0,0.0,0.0
2019-01-01 06:45:00,0.0,0.0,0.0,0.0
2019-01-01 07:00:00,0.001,0.001,0.0,0.0
2019-01-01 07:15:00,0.003,0.003,0.0,0.0
2019-01-01 07:30:00,0.011,0.01,0.001,0.0
2019-01-01 07:45:00,0.034,0.031,0.002,0.0
2019-01-01 08:00:00,0.088,0.079,0.005,0.0
2019-01-01 08:15:00,0.192,0.169,0.011,0.017
2019-01-01 08:30:00,0.356,0.311,0.019,0.226
2019-01-01 08:45:00,0.573,0.498,0.03,1.068
2019-01-01 09:00:00,0.822,0.711,0.043,1.717
2019-01-01 09:15:00,1.087,0.925,0.058,2.179
2019-01-01 09:30:00,1.359,1.122,0.075,2.334
2019-01-01 09:45:00,1.629,1.293,0.094,3.219
2019-01-01 10:00:00,1.885,1.437,0.118,3.606
2019-01-01 10:15:00,2.11,1.556,0.15,3.932
2019-01-01 10:30:00,2.295,1.653,0.19,4.202
2019-01-01 10:45:00,2.445,1.731,0.231,4.432
2019-01-01 11:00:00,2.563,1.794,0.261,4.82
2019-01-01 11:15:00,2.655,1.842,0.266,5.014
2019-01-01 11:30:00,2.725,1.875,0.246,4.915
2019-01-01 11:45:00,2.774,1.892,0.213,4.862
2019-01-01 12:00:00,2.803,1.893,0.185,4.912
2019-01-01 12:15:00,2.812,1.881,0.169,4.908
2019-01-01 12:30:00,2.792,1.858,0.169,4.876
2019-01-01 12:45:00,2.723,1.828,0.193,4.812
2019-01-01 13:00:00,2.573,1.792,0.257,4.731
2019-01-01 13:15:00,2.311,1.75,0.381,4.632
2019-01-01 13:30:00,1.943,1.7,0.57,4.57
2019-01-01 13:45:00,1.536,1.638,0.786,3.517
2019-01-01 14:00:00,1.196,1.563,0.958,3.648
2019-01-01 14:15:00,0.997,1.468,1.023,3.479
2019-01-01 14:30:00,0.937,1.352,0.964,3.451
2019-01-01 14:45:00,0.95,1.21,0.818,2.989
2019-01-01 15:00:00,0.967,1.049,0.636,3.368
2019-01-01 15:15:00,0.955,0.882,0.464,1.635
2019-01-01 15:30:00,0.909,0.726,0.326,1.717
2019-01-01 15:45:00,0.835,0.587,0.229,1.997
2019-01-01 16:00:00,0.734,0.464,0.164,1.233
2019-01-01 16:15:00,0.612,0.352,0.12,1.065
2019-01-01 16:30:00,0.477,0.251,0.088,0.784
2019-01-01 16:45:00,0.344,0.166,0.062,0.561
2019-01-01 17:00:00,0.224,0.099,0.04,0.199
2019-01-01 17:15:00,0.128,0.052,0.024,0.027
2019-01-01 17:30:00,0.064,0.024,0.012,0.0
2019-01-01 17:45:00,0.027,0.009,0.005,0.0
2019-01-01 18:00:00,0.009,0.003,0.002,0.0
2019-01-01 18:15:00,0.003,0.001,0.001,0.0
2019-01-01 18:30:00,0.001,0.0,0.0,0.0
2019-01-01 18:45:00,0.0,0.0,0.0,0.0
2019-01-01 19:00:00,0.0,0.0,0.0,0.0
2019-01-01 19:15:00,0.0,0.0,0.0,0.0
2019-01-01 19:30:00,0.0,0.0,0.0,0.0
2019-01-01 19:45:00,0.0,0.0,0.0,0.0
2019-01-01 20:00:00,0.0,0.0,0.0,0.0
