Data,Producer_1,Producer_2,Producer_3,Total
2019-01-01 00:15:00,0.0,0.0,0.0,0.0
2019-01-01 00:30:00,0.0,0.0,0.0,0.0
2019-01-01 00:45:00,0.0,0.0,0.0,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,0.0
2019-01-01 01:15:00,0.0,0.0,0.0,0.0
2019-01-01 01:30:00,0.0,0.0,0.0,0.0
2019-01-01 01:45:00,0.0,0.0,0.0,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,0.0
2019-01-01 02:15:00,0.0,0.0,0.0,0.0
2019-01-01 02:30:00,0.0,0.0,0.0,0.0
2019-01-01 02:45:00,0.0,0.0,0.0,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,0.0
2019-01-01 03:15:00,0.0,0.0,0.0,0.0
2019-01-01 03:30:00,0.0,0.0,0.0,0.0
2019-01-01 03:45:00,0.0,0.0,0.0,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,0.0
2019-01-01 04:15:00,0.0,0.0,0.0,0.0
2019-01-01 04:30:00,0.0,0.0,0.0,0.0
2019-01-01 04:45:00,0.0,0.0,0.0,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,0.0
2019-01-01 05:15:00,0.0,0.0,0.0,0.0
2019-01-01 05:30:00,0.0,0.0,0.0,0.0
2019-01-01 05:45:00,0.0,0.0,0.0,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,0.0
2019-01-01 06:15:00,0.0,0.0,0.0,0.0
2019-01-01 06:30:00,0.0,0.0,0.0,0.0
2019-01-01 06:45:00,0.0,0.0,0.0,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,0.0
2019-01-01 07:15:00,-0.001,-0.0,-0.0,0.0
2019-01-01 07:30:00,-0.007,-0.012,-0.001,0.0
2019-01-01 07:45:00,-0.044,-0.034,-0.002,0.0
2019-01-01 08:00:00,-0.034,-0.015,0.0,0.0
2019-01-01 08:15:00,0.074,0.064,0.005,0.017
2019-01-01 08:30:00,0.286,0.222,0.014,0.226
2019-01-01 08:45:00,0.479,0.442,0.026,1.068
2019-01-01 09:00:00,0.758,0.7,0.04,1.717
2019-01-01 09:15:00,1.083,0.963,0.055,2.179
2019-01-01 09:30:00,1.399,1.186,0.072,2.334
2019-01-01 09:45:00,1.66,1.352,0.089,3.219
2019-01-01 10:00:00,1.921,1.492,0.09,3.606
2019-01-01 10:15:00,2.182,1.597,0.122,3.932
2019-01-01 10:30:00,2.404,1.688,0.199,4.202
2019-01-01 10:45:00,2.498,1.763,0.273,4.432
2019-01-01 11:00:00,2.611,1.824,0.302,4.82
2019-01-01 11:15:00,2.701,1.871,0.302,5.014
2019-01-01 11:30:00,2.765,1.905,0.278,4.915
2019-01-01 11:45:00,2.81,1.924,0.228,4.862
2019-01-01 12:00:00,2.84,1.923,0.156,4.912
2019-01-01 12:15:00,2.855,1.901,0.126,4.908
2019-01-01 12:30:00,2.846,1.87,0.142,4.876
2019-01-01 12:45:00,2.956,1.839,0.104,4.812
2019-01-01 13:00:00,2.865,1.804,0.074,4.731
2019-01-01 13:15:00,2.514,1.765,0.239,4.632
2019-01-01 13:30:00,1.944,1.72,0.568,4.57
2019-01-01 13:45:00,1.419,1.666,0.891,3.517
2019-01-01 14:00:00,0.925,1.596,1.127,3.648
2019-01-01 14:15:00,0.757,1.528,1.273,3.479
2019-01-01 14:30:00,0.691,1.416,1.211,3.451
2019-01-01 14:45:00,0.902,1.229,0.913,2.989
2019-01-01 15:00:00,1.071,1.056,0.575,3.368
2019-01-01 15:15:00,1.081,0.872,0.366,1.635
2019-01-01 15:30:00,0.969,0.7,0.256,1.717
2019-01-01 15:45:00,0.88,0.545,0.159,1.997
2019-01-01 16:00:00,0.735,0.424,0.103,1.233
2019-01-01 16:15:00,0.692,0.339,0.109,1.065
2019-01-01 16:30:00,0.47,0.235,0.084,0.784
2019-01-01 16:45:00,0.288,0.115,0.048,0.561
2019-01-01 17:00:00,0.182,0.059,0.032,0.199
2019-01-01 17:15:00,0.07,0.014,0.015,0.027
2019-01-01 17:30:00,0.004,-0.005,0.003,0.0
2019-01-01 17:45:00,-0.021,-0.01,-0.003,0.0
2019-01-01 18:00:00,-0.011,-0.003,-0.002,0.0
2019-01-01 18:15:00,-0.002,-0.0,-0.0,0.0
2019-01-01 18:30:00,0.0,0.0,0.0,0.0
2019-01-01 18:45:00,0.0,0.0,0.0,0.0
2019-01-01 19:00:00,0.0,0.0,0.0,0.0
2019-01-01 19:15:00,0.0,0.0,0.0,0.0
2019-01-01 19:30:00,0.0,0.0,0.0,0.0
2019-01-01 19:45:00,0.0,0.0,0.0,0.0
