Data,Producer 1 (kW),Producer 2 (kW),Producer 3 (kW),Total (kW)
2019-01-01 00:00:00,0.0,0.0,0.0,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,0.0
2019-01-01 08:00:00,0.166,0.152,0.01,0.328
2019-01-01 09:00:00,1.233,1.066,0.064,2.362
2019-01-01 10:00:00,2.266,1.636,0.141,4.043
2019-01-01 11:00:00,2.723,1.881,0.299,4.903
2019-01-01 12:00:00,2.84,1.882,0.155,4.877
2019-01-01 13:00:00,2.292,1.738,0.332,4.362
2019-01-01 14:00:00,0.724,1.448,1.219,3.392
2019-01-01 15:00:00,1.046,0.791,0.342,2.179
2019-01-01 16:00:00,0.538,0.279,0.094,0.911
2019-01-01 17:00:00,0.038,0.01,0.009,0.056
2019-01-01 18:00:00,0.0,0.0,0.0,0.0
2019-01-01 19:00:00,0.0,0.0,0.0,0.0
2019-01-01 20:00:00,0.0,0.0,0.0,0.0
2019-01-01 21:00:00,0.0,0.0,0.0,0.0
2019-01-01 22:00:00,0.0,0.0,0.0,0.0
2019-01-01 23:00:00,0.0,0.0,0.0,0.0
2019-01-02 00:00:00,0.0,0.0,0.0,0.0
2019-01-02 01:00:00,0.0,0.0,0.0,0.0
2019-01-02 02:00:00,0.0,0.0,0.0,0.0
2019-01-02 03:00:00,0.0,0.0,0.0,0.0
2019-01-02 04:00:00,0.0,0.0,0.0,0.0
2019-01-02 05:00:00,0.0,0.0,0.0,0.0
2019-01-02 06:00:00,0.0,0.0,0.0,0.0
2019-01-02 07:00:00,0.0,0.0,0.0,0.0
2019-01-02 08:00:00,0.037,0.054,0.012,0.102
2019-01-02 09:00:00,0.796,0.888,0.074,1.758
2019-01-02 10:00:00,2.203,1.583,0.173,3.959
2019-01-02 11:00:00,2.663,1.834,0.299,4.796
2019-01-02 12:00:00,2.754,1.878,0.212,4.844
2019-01-02 13:00:00,2.384,1.731,0.413,4.528
2019-01-02 14:00:00,1.937,1.449,1.245,4.631
2019-01-02 15:00:00,1.632,0.945,0.393,2.97
2019-01-02 16:00:00,0.664,0.328,0.116,1.108
2019-01-02 17:00:00,0.034,0.012,0.011,0.057
